encod_dim	noise_factor	prec_rec
3	0	0.11734
3	0.5	0.11734
3	1	0.117391
4	0	0.117345
4	0.5	0.118319
4	1	0.118359
5	0	0.118115
5	0.5	0.118138
5	1	0.118217
6	0	0.119884
6	0.5	0.119973
6	1	0.119568
7	0	0.119807
7	0.5	0.119807
7	1	0.12097
8	0	0.129179
8	0.5	0.129221
8	1	0.12902
9	0	0.129781
9	0.5	0.129499
9	1	0.129785
10	0	0.130128
10	0.5	0.130324
10	1	0.129944
12	0	0.135832
12	0.5	0.135517
12	1	0.134839
13	0	0.135588
13	0.5	0.135242
13	1	0.136288
15	0	0.13637
15	0.5	0.137169
15	1	0.139956
17	0	0.138798
17	0.5	0.137209
17	1	0.141131
20	0	0.132473
20	0.5	0.130786
20	1	0.134723
